store,model,wmape
CA_1,lightgbm,0.3644519885419633
CA_1,ma4,0.3785411176937578
CA_1,snaive_52,0.6206533628819753
CA_2,lightgbm,0.37688600305130165
CA_2,ma4,0.3829784943052576
CA_2,snaive_52,0.6352376824780677
CA_3,lightgbm,0.3285012277071179
CA_3,ma4,0.3542929889492611
CA_3,snaive_52,0.5896846020871535
CA_4,lightgbm,0.4190413906155577
CA_4,ma4,0.42884520578973784
CA_4,snaive_52,0.6378882291023596
TX_1,lightgbm,0.4047806205769121
TX_1,ma4,0.4099720039222931
TX_1,snaive_52,0.6737177938522318
TX_2,lightgbm,0.3719267683475367
TX_2,ma4,0.3843650644673088
TX_2,snaive_52,0.5989916350880486
TX_3,lightgbm,0.38891801826705913
TX_3,ma4,0.39841787512893634
TX_3,snaive_52,0.6604878344760633
WI_1,lightgbm,0.35811012416108806
WI_1,ma4,0.37408702051329223
WI_1,snaive_52,0.581050501333824
WI_2,lightgbm,0.36874912307104624
WI_2,ma4,0.4050067829414546
WI_2,snaive_52,0.6191963871446688
WI_3,lightgbm,0.37217134490594966
WI_3,ma4,0.39132034927550857
WI_3,snaive_52,0.632963914924939
