id,arm,total_cost
FOODS_1_005_WI_1_evaluation,control,365.0
FOODS_1_006_CA_1_evaluation,control,311.0
FOODS_1_020_WI_1_evaluation,control,293.0
FOODS_1_042_TX_1_evaluation,control,680.0
FOODS_1_048_TX_1_evaluation,control,103.0
FOODS_1_051_CA_1_evaluation,control,220.0
FOODS_1_051_WI_1_evaluation,control,193.0
FOODS_1_062_CA_1_evaluation,control,265.0
FOODS_1_069_WI_1_evaluation,control,288.0
FOODS_1_126_WI_1_evaluation,control,125.0
FOODS_1_128_WI_1_evaluation,control,213.0
FOODS_1_130_TX_1_evaluation,control,199.0
FOODS_1_133_CA_1_evaluation,control,302.0
FOODS_1_139_CA_1_evaluation,control,445.0
FOODS_1_161_CA_1_evaluation,control,1391.0
FOODS_1_167_TX_1_evaluation,control,99.0
FOODS_1_168_WI_1_evaluation,control,163.0
FOODS_1_181_TX_1_evaluation,control,253.0
FOODS_1_182_WI_1_evaluation,control,211.0
FOODS_1_193_TX_1_evaluation,control,226.0
FOODS_1_200_WI_1_evaluation,control,639.0
FOODS_1_203_TX_1_evaluation,control,151.0
FOODS_2_002_TX_1_evaluation,control,213.0
FOODS_2_006_CA_1_evaluation,control,116.0
FOODS_2_029_WI_1_evaluation,control,185.0
FOODS_2_034_WI_1_evaluation,control,290.0
FOODS_2_039_WI_1_evaluation,control,79.0
FOODS_2_050_TX_1_evaluation,control,317.0
FOODS_2_067_CA_1_evaluation,control,242.0
FOODS_2_072_WI_1_evaluation,control,223.0
FOODS_2_081_CA_1_evaluation,control,302.0
FOODS_2_087_CA_1_evaluation,control,86.0
FOODS_2_091_TX_1_evaluation,control,195.0
FOODS_2_103_WI_1_evaluation,control,292.0
FOODS_2_132_CA_1_evaluation,control,198.0
FOODS_2_135_WI_1_evaluation,control,287.0
FOODS_2_136_CA_1_evaluation,control,149.0
FOODS_2_139_TX_1_evaluation,control,281.0
FOODS_2_142_TX_1_evaluation,control,195.0
FOODS_2_148_TX_1_evaluation,control,82.0
FOODS_2_158_CA_1_evaluation,control,241.0
FOODS_2_165_CA_1_evaluation,control,81.0
FOODS_2_170_CA_1_evaluation,control,303.0
FOODS_2_172_WI_1_evaluation,control,327.0
FOODS_2_190_CA_1_evaluation,control,193.0
FOODS_2_198_WI_1_evaluation,control,203.0
FOODS_2_201_TX_1_evaluation,control,261.0
FOODS_2_225_WI_1_evaluation,control,215.0
FOODS_2_230_TX_1_evaluation,control,166.0
FOODS_2_240_WI_1_evaluation,control,340.0
FOODS_2_247_TX_1_evaluation,control,245.0
FOODS_2_250_CA_1_evaluation,control,243.0
FOODS_2_251_TX_1_evaluation,control,238.0
FOODS_2_255_TX_1_evaluation,control,727.0
FOODS_2_275_WI_1_evaluation,control,269.0
FOODS_2_303_WI_1_evaluation,control,197.0
FOODS_2_306_TX_1_evaluation,control,217.0
FOODS_2_308_TX_1_evaluation,control,94.0
FOODS_2_308_WI_1_evaluation,control,210.0
FOODS_2_314_TX_1_evaluation,control,98.0
FOODS_2_315_TX_1_evaluation,control,440.0
FOODS_2_319_TX_1_evaluation,control,81.0
FOODS_2_338_WI_1_evaluation,control,203.0
FOODS_2_340_TX_1_evaluation,control,183.0
FOODS_2_355_TX_1_evaluation,control,201.0
FOODS_2_365_WI_1_evaluation,control,147.0
FOODS_2_375_TX_1_evaluation,control,166.0
FOODS_2_387_TX_1_evaluation,control,77.0
FOODS_2_393_CA_1_evaluation,control,136.0
FOODS_2_394_WI_1_evaluation,control,249.0
FOODS_3_021_CA_1_evaluation,control,492.0
FOODS_3_024_TX_1_evaluation,control,535.0
FOODS_3_029_CA_1_evaluation,control,287.0
FOODS_3_033_WI_1_evaluation,control,158.0
FOODS_3_035_CA_1_evaluation,control,254.0
FOODS_3_036_TX_1_evaluation,control,81.0
FOODS_3_040_CA_1_evaluation,control,169.0
FOODS_3_059_TX_1_evaluation,control,679.0
FOODS_3_065_CA_1_evaluation,control,261.0
FOODS_3_077_CA_1_evaluation,control,961.0
FOODS_3_085_CA_1_evaluation,control,216.0
FOODS_3_097_WI_1_evaluation,control,334.0
FOODS_3_103_CA_1_evaluation,control,201.0
FOODS_3_109_WI_1_evaluation,control,376.0
FOODS_3_110_WI_1_evaluation,control,79.0
FOODS_3_113_CA_1_evaluation,control,657.0
FOODS_3_126_TX_1_evaluation,control,362.0
FOODS_3_136_TX_1_evaluation,control,882.0
FOODS_3_138_WI_1_evaluation,control,251.0
FOODS_3_143_WI_1_evaluation,control,206.0
FOODS_3_144_CA_1_evaluation,control,309.0
FOODS_3_145_CA_1_evaluation,control,101.0
FOODS_3_163_CA_1_evaluation,control,408.0
FOODS_3_184_TX_1_evaluation,control,165.0
FOODS_3_190_WI_1_evaluation,control,358.0
FOODS_3_214_WI_1_evaluation,control,685.0
FOODS_3_268_CA_1_evaluation,control,161.0
FOODS_3_300_CA_1_evaluation,control,479.0
FOODS_3_304_CA_1_evaluation,control,371.0
FOODS_3_318_WI_1_evaluation,control,2062.0
FOODS_3_334_TX_1_evaluation,control,208.0
FOODS_3_336_TX_1_evaluation,control,162.0
FOODS_3_337_WI_1_evaluation,control,94.0
FOODS_3_357_WI_1_evaluation,control,182.0
FOODS_3_366_WI_1_evaluation,control,264.0
FOODS_3_367_CA_1_evaluation,control,291.0
FOODS_3_391_WI_1_evaluation,control,209.0
FOODS_3_397_CA_1_evaluation,control,143.0
FOODS_3_405_WI_1_evaluation,control,202.0
FOODS_3_409_TX_1_evaluation,control,147.0
FOODS_3_427_TX_1_evaluation,control,84.0
FOODS_3_429_CA_1_evaluation,control,247.0
FOODS_3_429_TX_1_evaluation,control,172.0
