id,arm,cat_id,volume_tertile,sales_sum
FOODS_1_029_TX_1_evaluation,treatment,FOODS,low,361
FOODS_1_126_WI_1_evaluation,control,FOODS,low,285
FOODS_1_159_TX_1_evaluation,treatment,FOODS,low,248
FOODS_1_164_CA_1_evaluation,treatment,FOODS,low,195
FOODS_1_211_TX_1_evaluation,treatment,FOODS,low,322
FOODS_2_006_CA_1_evaluation,control,FOODS,low,321
FOODS_2_029_WI_1_evaluation,control,FOODS,low,239
FOODS_2_053_TX_1_evaluation,treatment,FOODS,low,300
FOODS_2_062_TX_1_evaluation,treatment,FOODS,low,414
FOODS_2_132_TX_1_evaluation,treatment,FOODS,low,339
FOODS_2_148_TX_1_evaluation,control,FOODS,low,319
FOODS_2_158_CA_1_evaluation,control,FOODS,low,308
FOODS_2_159_WI_1_evaluation,treatment,FOODS,low,391
FOODS_2_165_CA_1_evaluation,control,FOODS,low,338
FOODS_2_308_TX_1_evaluation,control,FOODS,low,412
FOODS_2_319_TX_1_evaluation,control,FOODS,low,410
FOODS_2_365_WI_1_evaluation,control,FOODS,low,281
FOODS_2_387_TX_1_evaluation,control,FOODS,low,165
FOODS_2_393_CA_1_evaluation,control,FOODS,low,318
FOODS_3_003_CA_1_evaluation,treatment,FOODS,low,320
FOODS_3_033_TX_1_evaluation,treatment,FOODS,low,312
FOODS_3_033_WI_1_evaluation,control,FOODS,low,290
FOODS_3_036_TX_1_evaluation,control,FOODS,low,204
FOODS_3_110_WI_1_evaluation,control,FOODS,low,390
FOODS_3_137_TX_1_evaluation,treatment,FOODS,low,235
FOODS_3_164_CA_1_evaluation,treatment,FOODS,low,320
FOODS_3_280_WI_1_evaluation,treatment,FOODS,low,388
FOODS_3_296_WI_1_evaluation,treatment,FOODS,low,75
FOODS_3_337_WI_1_evaluation,control,FOODS,low,214
FOODS_3_350_CA_1_evaluation,treatment,FOODS,low,16
FOODS_3_375_TX_1_evaluation,treatment,FOODS,low,303
FOODS_3_409_TX_1_evaluation,control,FOODS,low,234
FOODS_3_427_TX_1_evaluation,control,FOODS,low,255
FOODS_3_443_TX_1_evaluation,treatment,FOODS,low,169
FOODS_3_527_TX_1_evaluation,control,FOODS,low,195
FOODS_3_536_TX_1_evaluation,control,FOODS,low,371
FOODS_3_563_TX_1_evaluation,control,FOODS,low,209
FOODS_3_595_CA_1_evaluation,treatment,FOODS,low,10
FOODS_3_690_TX_1_evaluation,treatment,FOODS,low,60
FOODS_3_722_TX_1_evaluation,control,FOODS,low,263
FOODS_3_763_TX_1_evaluation,treatment,FOODS,low,382
FOODS_3_790_TX_1_evaluation,control,FOODS,low,174
FOODS_3_790_WI_1_evaluation,control,FOODS,low,304
HOBBIES_1_002_TX_1_evaluation,control,HOBBIES,low,216
HOBBIES_1_003_CA_1_evaluation,control,HOBBIES,low,257
