id,arm,total_cost
FOODS_1_009_CA_1_evaluation,treatment,213.0
FOODS_1_018_CA_1_evaluation,treatment,936.0
FOODS_1_029_TX_1_evaluation,treatment,95.0
FOODS_1_045_TX_1_evaluation,treatment,303.0
FOODS_1_047_TX_1_evaluation,treatment,286.0
FOODS_1_076_CA_1_evaluation,treatment,220.0
FOODS_1_082_WI_1_evaluation,treatment,1053.0
FOODS_1_083_TX_1_evaluation,treatment,158.0
FOODS_1_097_TX_1_evaluation,treatment,394.0
FOODS_1_107_WI_1_evaluation,treatment,252.0
FOODS_1_109_WI_1_evaluation,treatment,148.0
FOODS_1_121_WI_1_evaluation,treatment,180.0
FOODS_1_143_TX_1_evaluation,treatment,218.0
FOODS_1_152_TX_1_evaluation,treatment,159.0
FOODS_1_159_TX_1_evaluation,treatment,122.0
FOODS_1_164_CA_1_evaluation,treatment,20.0
FOODS_1_175_TX_1_evaluation,treatment,183.0
FOODS_1_181_CA_1_evaluation,treatment,625.0
FOODS_1_184_WI_1_evaluation,treatment,186.0
FOODS_1_200_CA_1_evaluation,treatment,1061.0
FOODS_1_208_TX_1_evaluation,treatment,163.0
FOODS_1_211_TX_1_evaluation,treatment,10.0
FOODS_1_216_WI_1_evaluation,treatment,140.0
FOODS_2_003_CA_1_evaluation,treatment,114.0
FOODS_2_026_WI_1_evaluation,treatment,267.0
FOODS_2_032_TX_1_evaluation,treatment,160.0
FOODS_2_034_TX_1_evaluation,treatment,273.0
FOODS_2_049_CA_1_evaluation,treatment,162.0
FOODS_2_053_TX_1_evaluation,treatment,70.0
FOODS_2_055_CA_1_evaluation,treatment,279.0
FOODS_2_060_WI_1_evaluation,treatment,129.0
FOODS_2_062_TX_1_evaluation,treatment,169.0
FOODS_2_079_WI_1_evaluation,treatment,109.0
FOODS_2_124_WI_1_evaluation,treatment,220.0
FOODS_2_132_TX_1_evaluation,treatment,83.0
FOODS_2_133_CA_1_evaluation,treatment,175.0
FOODS_2_152_TX_1_evaluation,treatment,328.0
FOODS_2_153_WI_1_evaluation,treatment,491.0
FOODS_2_157_WI_1_evaluation,treatment,140.0
FOODS_2_159_WI_1_evaluation,treatment,161.0
FOODS_2_164_CA_1_evaluation,treatment,259.0
FOODS_2_165_WI_1_evaluation,treatment,163.0
FOODS_2_197_CA_1_evaluation,treatment,1161.0
FOODS_2_203_WI_1_evaluation,treatment,176.0
FOODS_2_204_TX_1_evaluation,treatment,709.0
FOODS_2_220_TX_1_evaluation,treatment,140.0
FOODS_2_229_WI_1_evaluation,treatment,105.0
FOODS_2_232_TX_1_evaluation,treatment,130.0
FOODS_2_255_CA_1_evaluation,treatment,190.0
FOODS_2_285_TX_1_evaluation,treatment,343.0
FOODS_2_298_TX_1_evaluation,treatment,65.0
FOODS_2_307_CA_1_evaluation,treatment,290.0
FOODS_2_315_WI_1_evaluation,treatment,381.0
FOODS_2_317_CA_1_evaluation,treatment,106.0
FOODS_2_328_WI_1_evaluation,treatment,149.0
FOODS_2_351_WI_1_evaluation,treatment,166.0
FOODS_2_375_WI_1_evaluation,treatment,104.0
FOODS_2_391_TX_1_evaluation,treatment,185.0
FOODS_3_003_CA_1_evaluation,treatment,173.0
FOODS_3_013_TX_1_evaluation,treatment,63.0
FOODS_3_027_TX_1_evaluation,treatment,104.0
FOODS_3_033_TX_1_evaluation,treatment,104.0
FOODS_3_063_CA_1_evaluation,treatment,189.0
FOODS_3_078_CA_1_evaluation,treatment,135.0
FOODS_3_083_CA_1_evaluation,treatment,129.0
FOODS_3_089_WI_1_evaluation,treatment,313.0
FOODS_3_100_WI_1_evaluation,treatment,249.0
FOODS_3_106_CA_1_evaluation,treatment,914.0
FOODS_3_116_CA_1_evaluation,treatment,441.0
FOODS_3_137_TX_1_evaluation,treatment,60.0
FOODS_3_160_WI_1_evaluation,treatment,199.0
FOODS_3_164_CA_1_evaluation,treatment,338.0
FOODS_3_184_CA_1_evaluation,treatment,413.0
FOODS_3_191_WI_1_evaluation,treatment,211.0
FOODS_3_194_TX_1_evaluation,treatment,103.0
FOODS_3_195_TX_1_evaluation,treatment,169.0
FOODS_3_225_CA_1_evaluation,treatment,188.0
FOODS_3_235_CA_1_evaluation,treatment,229.0
FOODS_3_243_CA_1_evaluation,treatment,119.0
FOODS_3_248_TX_1_evaluation,treatment,82.0
FOODS_3_248_WI_1_evaluation,treatment,185.0
FOODS_3_261_CA_1_evaluation,treatment,115.0
FOODS_3_265_CA_1_evaluation,treatment,207.0
FOODS_3_280_WI_1_evaluation,treatment,81.0
FOODS_3_296_WI_1_evaluation,treatment,568.0
FOODS_3_327_CA_1_evaluation,treatment,323.0
FOODS_3_350_CA_1_evaluation,treatment,313.0
FOODS_3_361_CA_1_evaluation,treatment,183.0
FOODS_3_361_TX_1_evaluation,treatment,162.0
FOODS_3_363_WI_1_evaluation,treatment,335.0
FOODS_3_375_TX_1_evaluation,treatment,110.0
FOODS_3_375_WI_1_evaluation,treatment,227.0
FOODS_3_385_WI_1_evaluation,treatment,219.0
FOODS_3_404_CA_1_evaluation,treatment,578.0
FOODS_3_410_TX_1_evaluation,treatment,92.0
FOODS_3_411_WI_1_evaluation,treatment,213.0
FOODS_3_414_TX_1_evaluation,treatment,144.0
FOODS_3_428_WI_1_evaluation,treatment,191.0
FOODS_3_437_TX_1_evaluation,treatment,197.0
FOODS_3_437_WI_1_evaluation,treatment,241.0
FOODS_3_441_TX_1_evaluation,treatment,0.0
FOODS_3_443_TX_1_evaluation,treatment,127.0
FOODS_3_446_WI_1_evaluation,treatment,288.0
FOODS_3_447_CA_1_evaluation,treatment,210.0
