id,adf_p_level,kpss_p_level,adf_p_diff,kpss_p_diff,adf_stat_level,kpss_stat_level,adf_stat_diff,kpss_stat_diff,both_stat_level,both_stat_diff
FOODS_1_005_CA_1_evaluation,0.00033812589216169467,0.1,1.4312353302496875e-11,0.1,True,True,True,True,True,True
FOODS_1_013_CA_1_evaluation,0.0011324483327587959,0.1,1.4958286494479845e-06,0.04794594306120885,True,True,True,False,True,False
FOODS_1_017_CA_1_evaluation,0.621179545692425,0.015041563148585887,1.323038807997142e-11,0.1,False,False,True,True,False,True
FOODS_1_020_WI_1_evaluation,0.0008911671504406891,0.015544301173619633,5.0616636915168533e-20,0.1,True,False,True,True,False,True
FOODS_1_032_CA_1_evaluation,0.010919142004695761,0.01,2.7226544441997303e-13,0.1,True,False,True,True,False,True
FOODS_1_033_CA_1_evaluation,0.2356154996386728,0.01,2.7562068648593854e-07,0.1,False,False,True,True,False,True
FOODS_1_041_TX_1_evaluation,0.0009284043572613946,0.1,3.708742200072725e-11,0.1,True,True,True,True,True,True
FOODS_1_042_WI_1_evaluation,2.201165143385046e-09,0.1,1.864007742116242e-05,0.1,True,True,True,True,True,True
FOODS_1_046_CA_1_evaluation,4.377879218509327e-14,0.07652650158555095,1.1348225925203085e-10,0.1,True,True,True,True,True,True
FOODS_1_058_CA_1_evaluation,3.167371637955351e-12,0.09391136304844154,2.429697675187462e-16,0.1,True,True,True,True,True,True
FOODS_1_058_WI_1_evaluation,0.001171586557669877,0.03718615986217695,7.161993776590828e-17,0.1,True,False,True,True,False,True
FOODS_1_059_TX_1_evaluation,0.31897484047594915,0.01,4.211125998421464e-15,0.1,False,False,True,True,False,True
FOODS_1_061_CA_1_evaluation,0.004951768860139991,0.1,2.7172968096201413e-23,0.1,True,True,True,True,True,True
FOODS_1_063_WI_1_evaluation,6.081654310533165e-05,0.04718425853908248,4.081536381869971e-12,0.04166666666666362,True,False,True,False,False,False
FOODS_1_067_CA_1_evaluation,2.3090575618792244e-07,0.1,4.8285559892811247e-29,0.1,True,True,True,True,True,True
FOODS_1_074_TX_1_evaluation,0.022820442533293413,0.1,4.985350922099388e-13,0.1,True,True,True,True,True,True
FOODS_1_076_WI_1_evaluation,0.7457708585763732,0.01,3.295514304634303e-18,0.1,False,False,True,True,False,True
FOODS_1_080_TX_1_evaluation,1.9868133915450372e-12,0.1,1.2951979811044604e-18,0.1,True,True,True,True,True,True
FOODS_1_102_TX_1_evaluation,9.448372788724628e-12,0.1,4.2405307449233625e-16,0.1,True,True,True,True,True,True
FOODS_1_105_TX_1_evaluation,0.06247234880932899,0.01,2.3863688064954535e-09,0.1,False,False,True,True,False,True
FOODS_1_114_CA_1_evaluation,1.0964390230441335e-05,0.1,3.87168288943216e-09,0.1,True,True,True,True,True,True
FOODS_1_117_WI_1_evaluation,0.0007011452228789634,0.01,1.023425591093071e-18,0.1,True,False,True,True,False,True
FOODS_1_126_CA_1_evaluation,0.007535933589354037,0.01,7.208701382791599e-30,0.1,True,False,True,True,False,True
FOODS_1_134_CA_1_evaluation,0.012603346622336387,0.1,3.2976757493256084e-27,0.1,True,True,True,True,True,True
FOODS_1_136_WI_1_evaluation,0.0004169454935897363,0.01,1.7683470739428477e-06,0.1,True,False,True,True,False,True
FOODS_1_142_TX_1_evaluation,8.591690743936111e-15,0.1,8.67917338664666e-17,0.1,True,True,True,True,True,True
FOODS_1_147_WI_1_evaluation,0.10351100905122912,0.01,1.6849987026066635e-15,0.1,False,False,True,True,False,True
FOODS_1_155_TX_1_evaluation,0.03676484225029815,0.01,5.031744659781806e-17,0.1,True,False,True,True,False,True
FOODS_1_156_TX_1_evaluation,2.0342286359193566e-05,0.1,3.5589088619486167e-16,0.1,True,True,True,True,True,True
FOODS_1_158_TX_1_evaluation,0.00012499576489057132,0.1,1.3487067188406214e-11,0.04166666666665869,True,True,True,False,True,False
FOODS_1_159_WI_1_evaluation,0.6814103620644579,0.01,3.780868939802839e-15,0.1,False,False,True,True,False,True
FOODS_1_166_WI_1_evaluation,0.002538826756825385,0.01,5.05228771731684e-26,0.1,True,False,True,True,False,True
FOODS_1_179_TX_1_evaluation,0.035470073759895734,0.01,3.240053112111267e-07,0.1,True,False,True,True,False,True
FOODS_1_180_CA_1_evaluation,0.0002490117781287885,0.048953361724455455,4.574734960928068e-24,0.04166666666667882,True,False,True,False,False,False
FOODS_1_193_WI_1_evaluation,6.849663645664003e-18,0.03957647160887394,5.743279977579182e-10,0.1,True,False,True,True,False,True
FOODS_1_194_TX_1_evaluation,7.459521404871765e-05,0.1,5.989990993831341e-20,0.1,True,True,True,True,True,True
FOODS_1_196_CA_1_evaluation,6.901874983103532e-06,0.1,1.348416805572145e-13,0.1,True,True,True,True,True,True
FOODS_1_199_TX_1_evaluation,4.6659032401051494e-15,0.01,6.617980487418311e-12,0.1,True,False,True,True,False,True
FOODS_1_202_TX_1_evaluation,0.1832777985732058,0.01,6.000558622737909e-17,0.05829346483697791,False,False,True,True,False,True
FOODS_1_204_TX_1_evaluation,0.8776340151148352,0.05003560915094054,8.020655938905369e-14,0.1,False,True,True,True,False,True
FOODS_1_205_CA_1_evaluation,0.13281279938490326,0.01,5.0827056915190495e-21,0.04166666666666424,False,False,True,False,False,False
FOODS_1_207_CA_1_evaluation,1.1388905776175657e-09,0.024263263452332238,5.6164125484160716e-11,0.1,True,False,True,True,False,True
FOODS_1_208_CA_1_evaluation,1.877048061367267e-21,0.01,1.2299435072062683e-07,0.1,True,False,True,True,False,True
FOODS_1_212_TX_1_evaluation,3.4293520390464716e-11,0.043621696019728026,2.7820385007546256e-18,0.1,True,False,True,True,False,True
FOODS_1_216_CA_1_evaluation,1.2258623357809975e-15,0.1,2.166920394261363e-11,0.1,True,True,True,True,True,True
FOODS_1_216_WI_1_evaluation,1.1366783994083638e-06,0.1,1.0195858583585599e-13,0.1,True,True,True,True,True,True
FOODS_1_218_CA_1_evaluation,0.0004010692641673298,0.1,2.333216944369393e-09,0.1,True,True,True,True,True,True
FOODS_1_218_TX_1_evaluation,0.0013170537885373694,0.015907846808783717,2.525549339678524e-25,0.1,True,False,True,True,False,True
FOODS_2_001_CA_1_evaluation,0.14349656923935739,0.01,3.1585534597644473e-25,0.1,False,False,True,True,False,True
FOODS_2_007_WI_1_evaluation,2.32371941911268e-11,0.04983726538549787,4.5154927246808524e-11,0.1,True,False,True,True,False,True
FOODS_2_009_TX_1_evaluation,3.3077412200285036e-05,0.01,1.7430981310942633e-16,0.1,True,False,True,True,False,True
FOODS_2_012_TX_1_evaluation,3.173420863324624e-11,0.1,7.625078551343477e-13,0.1,True,True,True,True,True,True
FOODS_2_014_WI_1_evaluation,1.8817644278588949e-16,0.1,4.03705574874176e-10,0.1,True,True,True,True,True,True
FOODS_2_023_CA_1_evaluation,0.0341559316648237,0.1,7.720319883643167e-19,0.1,True,True,True,True,True,True
FOODS_2_023_TX_1_evaluation,0.0532149150005521,0.09941411563840659,1.8459115426720458e-22,0.1,False,True,True,True,False,True
FOODS_2_029_CA_1_evaluation,0.14840752741175578,0.05731754989282931,6.59738090568439e-08,0.1,False,True,True,True,False,True
FOODS_2_034_TX_1_evaluation,0.002094883329093888,0.01,2.4075907895429316e-14,0.1,True,False,True,True,False,True
FOODS_2_035_WI_1_evaluation,0.6741454039276351,0.01,8.700026917915882e-18,0.1,False,False,True,True,False,True
FOODS_2_040_WI_1_evaluation,4.296438830680591e-06,0.1,1.224300571234107e-19,0.1,True,True,True,True,True,True
FOODS_2_044_WI_1_evaluation,0.0003777836530056181,0.06654282403939356,9.706429305328527e-16,0.1,True,True,True,True,True,True
FOODS_2_045_CA_1_evaluation,0.03205602846639479,0.1,7.087700719726126e-21,0.1,True,True,True,True,True,True
FOODS_2_047_TX_1_evaluation,0.04738092226868348,0.01,3.5965967201132544e-16,0.1,True,False,True,True,False,True
FOODS_2_057_CA_1_evaluation,4.283277916665404e-07,0.0998213061485787,3.338269335878462e-05,0.1,True,True,True,True,True,True
FOODS_2_057_WI_1_evaluation,0.01116389769010884,0.01,1.7746317108797883e-10,0.1,True,False,True,True,False,True
FOODS_2_063_TX_1_evaluation,0.019643138612233907,0.1,5.4190941662052876e-11,0.1,True,True,True,True,True,True
FOODS_2_074_WI_1_evaluation,5.3720493927401374e-05,0.04218444025587577,2.025450784135157e-30,0.1,True,False,True,True,False,True
FOODS_2_082_TX_1_evaluation,0.0020082424146561665,0.01,5.2383980538781326e-12,0.1,True,False,True,True,False,True
FOODS_2_102_CA_1_evaluation,1.800119148945695e-10,0.1,5.044377233335188e-05,0.1,True,True,True,True,True,True
FOODS_2_103_TX_1_evaluation,0.009679981662200908,0.01,2.0075821080904686e-11,0.1,True,False,True,True,False,True
FOODS_2_106_WI_1_evaluation,0.2844377164019226,0.01,8.73589524220815e-08,0.1,False,False,True,True,False,True
FOODS_2_111_WI_1_evaluation,5.1398489734712525e-05,0.022316113947641384,1.5444491857864536e-17,0.1,True,False,True,True,False,True
FOODS_2_119_CA_1_evaluation,0.27896865683839644,0.017801754959730617,4.3778548092250327e-10,0.1,False,False,True,True,False,True
FOODS_2_120_TX_1_evaluation,2.294517861149978e-21,0.01,1.8327408501742583e-15,0.04166666666666747,True,False,True,False,False,False
FOODS_2_129_CA_1_evaluation,4.680272386228457e-15,0.1,3.1504516604723698e-15,0.043071591917571726,True,True,True,False,True,False
FOODS_2_129_WI_1_evaluation,6.712466264808506e-06,0.01,6.737788429638428e-15,0.1,True,False,True,True,False,True
FOODS_2_131_WI_1_evaluation,4.0921765333643154e-16,0.01,4.761550686669012e-12,0.1,True,False,True,True,False,True
FOODS_2_135_CA_1_evaluation,0.00013572868868455255,0.1,2.5069121359690947e-19,0.1,True,True,True,True,True,True
FOODS_2_137_WI_1_evaluation,0.05773099599592855,0.0841868947276771,1.08906513309835e-22,0.1,False,True,True,True,False,True
FOODS_2_140_CA_1_evaluation,0.009215567900513142,0.1,6.849670625776657e-08,0.1,True,True,True,True,True,True
FOODS_2_142_TX_1_evaluation,0.00778714716387873,0.08511911025236119,1.6542744339578612e-23,0.1,True,True,True,True,True,True
FOODS_2_145_WI_1_evaluation,0.12080780314407419,0.01898243730697188,4.091976793763488e-13,0.1,False,False,True,True,False,True
FOODS_2_146_WI_1_evaluation,2.5765350059928125e-08,0.1,1.1739816391567434e-11,0.1,True,True,True,True,True,True
FOODS_2_147_CA_1_evaluation,0.005179351370449696,0.016864841959748973,2.294224823160088e-10,0.1,True,False,True,True,False,True
FOODS_2_171_TX_1_evaluation,0.7217518317569261,0.01,9.095477294448409e-07,0.1,False,False,True,True,False,True
FOODS_2_173_CA_1_evaluation,0.00023075094883480448,0.01,6.665707417556116e-08,0.1,True,False,True,True,False,True
FOODS_2_175_WI_1_evaluation,0.971578951924327,0.01,5.410301720168253e-11,0.1,False,False,True,True,False,True
FOODS_2_181_WI_1_evaluation,0.7926802250559541,0.04982234780642273,1.327039190527292e-10,0.041666666666665866,False,False,True,False,False,False
FOODS_2_195_WI_1_evaluation,1.8270441703460693e-09,0.047982516156437026,1.8066190319490592e-10,0.1,True,False,True,True,False,True
FOODS_2_196_TX_1_evaluation,0.019160737521036284,0.010507177952123133,2.080129993019197e-19,0.1,True,False,True,True,False,True
FOODS_2_197_WI_1_evaluation,4.0754762729929037e-20,0.1,1.8722318319355175e-17,0.1,True,True,True,True,True,True
FOODS_2_198_CA_1_evaluation,0.03481760287161053,0.1,3.750479283207326e-11,0.1,True,True,True,True,True,True
FOODS_2_199_CA_1_evaluation,0.00022249592346031483,0.1,3.222932499941533e-23,0.041666666666660565,True,True,True,False,True,False
FOODS_2_208_CA_1_evaluation,0.8399433844268898,0.01,1.107511867264088e-08,0.1,False,False,True,True,False,True
FOODS_2_220_WI_1_evaluation,0.0698838160234146,0.01663532777689751,6.625052676181177e-12,0.1,False,False,True,True,False,True
FOODS_2_221_CA_1_evaluation,0.0611037485885997,0.01,3.903809923726358e-15,0.1,False,False,True,True,False,True
FOODS_2_223_TX_1_evaluation,0.0733797928826679,0.07170521807464438,6.924893007030379e-13,0.1,False,True,True,True,False,True
FOODS_2_228_WI_1_evaluation,2.6277605291522627e-15,0.1,3.449544242315371e-09,0.1,True,True,True,True,True,True
FOODS_2_230_TX_1_evaluation,0.06308235259396777,0.1,8.486633153781876e-08,0.1,False,True,True,True,False,True
FOODS_2_238_TX_1_evaluation,0.0006001580352198317,0.02626234957966259,8.350204672301376e-20,0.1,True,False,True,True,False,True
FOODS_2_239_WI_1_evaluation,0.07006782451228043,0.1,1.0202705374923931e-06,0.1,False,True,True,True,False,True
FOODS_2_241_TX_1_evaluation,0.0022732129689410144,0.018086236518138333,6.205654364442105e-09,0.1,True,False,True,True,False,True
FOODS_2_247_WI_1_evaluation,0.003196278281314991,0.018018885939467988,1.6037346239964628e-27,0.08872139312061418,True,False,True,True,False,True
FOODS_2_250_TX_1_evaluation,8.146158320169472e-06,0.07821970622279477,3.8281549308299445e-14,0.1,True,True,True,True,True,True
FOODS_2_250_WI_1_evaluation,4.036093311903425e-05,0.1,5.444183424471412e-14,0.1,True,True,True,True,True,True
FOODS_2_270_WI_1_evaluation,0.0003756398034740852,0.1,1.1313172238968393e-17,0.1,True,True,True,True,True,True
FOODS_2_274_CA_1_evaluation,0.003633441764558021,0.1,1.7339827041761373e-15,0.1,True,True,True,True,True,True
FOODS_2_276_CA_1_evaluation,0.284004886271145,0.01,9.746917986601424e-12,0.1,False,False,True,True,False,True
FOODS_2_290_WI_1_evaluation,0.006853512172622249,0.07419351239897409,1.1117896487910454e-14,0.1,True,True,True,True,True,True
FOODS_2_307_WI_1_evaluation,2.7147462608091372e-06,0.1,2.929473043347308e-19,0.1,True,True,True,True,True,True
FOODS_2_313_TX_1_evaluation,3.772121322676841e-10,0.1,1.1310657646962164e-18,0.1,True,True,True,True,True,True
FOODS_2_343_CA_1_evaluation,1.242551816311587e-05,0.1,5.451536752610567e-16,0.1,True,True,True,True,True,True
FOODS_2_345_TX_1_evaluation,0.09161367897550166,0.01,2.455140298545493e-21,0.1,False,False,True,True,False,True
FOODS_2_349_WI_1_evaluation,0.0018529579664023617,0.022175410248559027,1.7257468562353538e-25,0.1,True,False,True,True,False,True
FOODS_2_357_TX_1_evaluation,0.1446795593547911,0.01,3.318716245112286e-08,0.1,False,False,True,True,False,True
FOODS_2_360_CA_1_evaluation,0.05021773334168021,0.01,1.1736961057881268e-07,0.1,False,False,True,True,False,True
FOODS_2_363_TX_1_evaluation,0.0002176943046168316,0.06703854865964191,1.7531483761302267e-12,0.1,True,True,True,True,True,True
FOODS_2_378_WI_1_evaluation,0.02390533596485383,0.05315650119269445,2.380381289860354e-15,0.1,True,True,True,True,True,True
FOODS_2_380_CA_1_evaluation,0.00837171647331542,0.1,1.884900895300304e-05,0.1,True,True,True,True,True,True
FOODS_2_383_TX_1_evaluation,4.231363582131366e-13,0.1,9.69591265403874e-07,0.1,True,True,True,True,True,True
FOODS_2_383_WI_1_evaluation,0.1473293203302134,0.1,6.580630454724343e-20,0.1,False,True,True,True,False,True
FOODS_2_391_TX_1_evaluation,0.002986099804815419,0.1,9.71481424139765e-24,0.1,True,True,True,True,True,True
FOODS_2_395_TX_1_evaluation,5.89286466847534e-16,0.1,1.1656224373825411e-06,0.09015041530686571,True,True,True,True,True,True
