segment,value,model,wmape
cat_id,FOODS,naive_last,0.4245647483819176
cat_id,FOODS,seasonal_naive_52,0.6167277106015754
cat_id,FOODS,moving_average_4,0.3838994531132407
cat_id,FOODS,moving_average_8,0.4034669610155035
cat_id,FOODS,croston_sba,0.42283154558497854
cat_id,FOODS,ets,0.3734044516373704
cat_id,FOODS,arima,0.37776101809401963
cat_id,HOBBIES,naive_last,0.5967901234567902
cat_id,HOBBIES,seasonal_naive_52,0.6792592592592592
cat_id,HOBBIES,moving_average_4,0.5106481481481482
cat_id,HOBBIES,moving_average_8,0.49765432098765433
cat_id,HOBBIES,croston_sba,0.5009515861339039
cat_id,HOBBIES,ets,0.49716690094518456
cat_id,HOBBIES,arima,0.49594427789154233
cat_id,HOUSEHOLD,naive_last,0.4684307047419439
cat_id,HOUSEHOLD,seasonal_naive_52,0.6302506331324775
cat_id,HOUSEHOLD,moving_average_4,0.4062308968649026
cat_id,HOUSEHOLD,moving_average_8,0.4054558553838093
cat_id,HOUSEHOLD,croston_sba,0.4230262887195753
cat_id,HOUSEHOLD,ets,0.3961568234081672
cat_id,HOUSEHOLD,arima,0.40089377725722025
sbc_class,erratic,naive_last,0.5878356518925913
sbc_class,erratic,seasonal_naive_52,0.7974765448075056
sbc_class,erratic,moving_average_4,0.5509543836945973
sbc_class,erratic,moving_average_8,0.5793432546101586
sbc_class,erratic,croston_sba,0.5439556509651671
sbc_class,erratic,ets,0.5480808542380896
sbc_class,erratic,arima,0.541026580998019
sbc_class,intermittent,naive_last,0.5779156677478494
sbc_class,intermittent,seasonal_naive_52,0.8279509237061063
sbc_class,intermittent,moving_average_4,0.5204131998307714
sbc_class,intermittent,moving_average_8,0.5435939923847131
sbc_class,intermittent,croston_sba,0.6249218295506809
sbc_class,intermittent,ets,0.5141623062498775
sbc_class,intermittent,arima,0.5188600735073098
sbc_class,lumpy,naive_last,0.7469338917140294
sbc_class,lumpy,seasonal_naive_52,0.9551301226443314
sbc_class,lumpy,moving_average_4,0.6549506431349088
sbc_class,lumpy,moving_average_8,0.6455279688902184
sbc_class,lumpy,croston_sba,0.6411126822794835
sbc_class,lumpy,ets,0.6370915559750842
sbc_class,lumpy,arima,0.6364857429583345
sbc_class,smooth,naive_last,0.42520737643106876
sbc_class,smooth,seasonal_naive_52,0.5590937135805855
sbc_class,smooth,moving_average_4,0.3702954685679029
sbc_class,smooth,moving_average_8,0.3731533214506067
sbc_class,smooth,croston_sba,0.3765549261166102
sbc_class,smooth,ets,0.35812317126318455
sbc_class,smooth,arima,0.3618858868992322
volume_tier,low,naive_last,0.8107863814401929
volume_tier,low,seasonal_naive_52,0.977402832178367
volume_tier,low,moving_average_4,0.6910967158782766
volume_tier,low,moving_average_8,0.6817565531786682
volume_tier,low,croston_sba,0.7203937816616282
volume_tier,low,ets,0.684840974581869
volume_tier,low,arima,0.684938591000527
volume_tier,mid,naive_last,0.5949063270884726
volume_tier,mid,seasonal_naive_52,0.7429161944129609
volume_tier,mid,moving_average_4,0.5138675911727448
volume_tier,mid,moving_average_8,0.5125508367224482
volume_tier,mid,croston_sba,0.5322517617574269
volume_tier,mid,ets,0.4992615892132896
volume_tier,mid,arima,0.5000663158784444
volume_tier,high,naive_last,0.40146876689866906
volume_tier,high,seasonal_naive_52,0.5650217175153069
volume_tier,high,moving_average_4,0.3590629197411342
volume_tier,high,moving_average_8,0.37011355905594223
volume_tier,high,croston_sba,0.38190131582786185
volume_tier,high,ets,0.34847692449090517
volume_tier,high,arima,0.3528312881003605
