fold,model,wmape
fold_1,naive_last,0.4830733229329173
fold_1,seasonal_naive_52,0.6564352574102964
fold_1,moving_average_4,0.43878705148205926
fold_1,moving_average_8,0.44801092043681745
fold_1,croston_sba,0.4674300612320952
fold_1,ets,0.42395715918988897
fold_1,arima,0.4342904851236674
fold_2,naive_last,0.4852460277767091
fold_2,seasonal_naive_52,0.6755664986727196
fold_2,moving_average_4,0.40662870772900395
fold_2,moving_average_8,0.4212865002115954
fold_2,croston_sba,0.44589671111118795
fold_2,ets,0.39953722282526305
fold_2,arima,0.40129834324929836
fold_3,naive_last,0.4508067761882112
fold_3,seasonal_naive_52,0.5719146756430427
fold_3,moving_average_4,0.40463210274047784
fold_3,moving_average_8,0.4022264095715488
fold_3,croston_sba,0.405523941598527
fold_3,ets,0.3935495599008043
fold_3,arima,0.3917793134975599
