id,cost,understock_units,overstock_units,stockout_rate,demand,arm
FOODS_1_005_CA_1_evaluation,26.0,0.0,26.0,0.0,46.0,champion
FOODS_1_013_CA_1_evaluation,57.0,0.0,57.0,0.0,35.0,champion
FOODS_1_017_CA_1_evaluation,8.0,1.0,3.0,0.25,38.0,champion
FOODS_1_020_WI_1_evaluation,47.0,0.0,47.0,0.0,65.0,champion
FOODS_1_032_CA_1_evaluation,133.0,0.0,133.0,0.0,91.0,champion
FOODS_1_033_CA_1_evaluation,35.0,0.0,35.0,0.0,5.0,champion
FOODS_1_041_TX_1_evaluation,16.0,0.0,16.0,0.0,12.0,champion
FOODS_1_042_WI_1_evaluation,26.0,0.0,26.0,0.0,114.0,champion
FOODS_1_046_CA_1_evaluation,130.0,0.0,130.0,0.0,206.0,champion
FOODS_1_058_CA_1_evaluation,61.0,9.0,16.0,0.75,65.0,champion
FOODS_1_058_WI_1_evaluation,225.0,45.0,0.0,0.75,97.0,champion
FOODS_1_059_TX_1_evaluation,19.0,0.0,19.0,0.0,33.0,champion
FOODS_1_061_CA_1_evaluation,41.0,0.0,41.0,0.0,51.0,champion
FOODS_1_063_WI_1_evaluation,39.0,4.0,19.0,0.25,77.0,champion
FOODS_1_067_CA_1_evaluation,33.0,0.0,33.0,0.0,91.0,champion
FOODS_1_074_TX_1_evaluation,23.0,4.0,3.0,0.5,17.0,champion
FOODS_1_076_WI_1_evaluation,18.0,2.0,8.0,0.25,18.0,champion
FOODS_1_080_TX_1_evaluation,29.0,4.0,9.0,0.25,15.0,champion
FOODS_1_102_TX_1_evaluation,18.0,0.0,18.0,0.0,14.0,champion
FOODS_1_105_TX_1_evaluation,15.0,0.0,15.0,0.0,21.0,champion
FOODS_1_114_CA_1_evaluation,39.0,0.0,39.0,0.0,1.0,champion
FOODS_1_117_WI_1_evaluation,25.0,0.0,25.0,0.0,27.0,champion
FOODS_1_126_CA_1_evaluation,76.0,15.0,1.0,0.75,30.0,champion
FOODS_1_134_CA_1_evaluation,20.0,1.0,15.0,0.25,22.0,champion
FOODS_1_136_WI_1_evaluation,16.0,0.0,16.0,0.0,12.0,champion
FOODS_1_142_TX_1_evaluation,59.0,0.0,59.0,0.0,9.0,champion
