id,cost,understock_units,overstock_units,stockout_rate,demand,arm
FOODS_1_005_CA_1_evaluation,223.0,27.0,88.0,0.25,151.0,champion
FOODS_1_013_CA_1_evaluation,124.0,10.0,74.0,0.25,160.0,champion
FOODS_1_017_CA_1_evaluation,45.0,0.0,45.0,0.0,75.0,champion
FOODS_1_020_WI_1_evaluation,152.0,19.0,57.0,0.16666666666666666,110.0,champion
FOODS_1_032_CA_1_evaluation,491.0,0.0,491.0,0.0,305.0,champion
FOODS_1_033_CA_1_evaluation,75.0,6.0,45.0,0.25,85.0,champion
FOODS_1_041_TX_1_evaluation,62.0,2.0,52.0,0.08333333333333333,38.0,champion
FOODS_1_042_WI_1_evaluation,238.0,22.0,128.0,0.25,230.0,champion
FOODS_1_046_CA_1_evaluation,561.0,49.0,316.0,0.16666666666666666,573.0,champion
FOODS_1_058_CA_1_evaluation,240.0,4.0,220.0,0.16666666666666666,188.0,champion
FOODS_1_058_WI_1_evaluation,267.0,17.0,182.0,0.16666666666666666,151.0,champion
FOODS_1_059_TX_1_evaluation,130.0,11.0,75.0,0.25,104.0,champion
FOODS_1_061_CA_1_evaluation,120.0,6.0,90.0,0.16666666666666666,92.0,champion
FOODS_1_063_WI_1_evaluation,70.0,0.0,70.0,0.0,174.0,champion
FOODS_1_067_CA_1_evaluation,237.0,0.0,237.0,0.0,235.0,champion
FOODS_1_074_TX_1_evaluation,59.0,1.0,54.0,0.08333333333333333,43.0,champion
FOODS_1_076_WI_1_evaluation,67.0,6.0,37.0,0.16666666666666666,57.0,champion
FOODS_1_080_TX_1_evaluation,60.0,8.0,20.0,0.3333333333333333,48.0,champion
FOODS_1_102_TX_1_evaluation,47.0,4.0,27.0,0.25,45.0,champion
FOODS_1_105_TX_1_evaluation,35.0,0.0,35.0,0.0,21.0,champion
FOODS_1_114_CA_1_evaluation,77.0,6.0,47.0,0.25,123.0,champion
FOODS_1_117_WI_1_evaluation,89.0,3.0,74.0,0.08333333333333333,17.0,champion
FOODS_1_126_CA_1_evaluation,101.0,6.0,71.0,0.25,95.0,champion
FOODS_1_134_CA_1_evaluation,139.0,14.0,69.0,0.16666666666666666,141.0,champion
FOODS_1_136_WI_1_evaluation,52.0,0.0,52.0,0.0,24.0,champion
FOODS_1_142_TX_1_evaluation,333.0,52.0,73.0,0.3333333333333333,95.0,champion
